Champions 	HP 	HP+ 	HP5 	HP5+ 	MP 	MP+ 	MP5 	MP5+ 	AD 	AD+ 	AS 	AS+ 	AR 	AR+ 	MR 	MR+ 	MS 	Range
Aatrox Aatrox	580	+85	6.59	+0.5	100	+0	0	+0	60.376	+3.2	0.651	+3%	24.384	+3.8	32.1	+1.25	345	150
Ahri Ahri	514.4	+80	6.505	+0.6	334	+50	6	+0.8	53.04	+3	0.668	+2%	20.88	+3.5	30	+0	330	550
Akali Akali	587.8	+85	8.34	+0.65	200	+0	50	+0	58.376	+3.2	0.694	+3.1%	26.38	+3.5	32.1	+1.25	350	125
Alistar Alistar	613.36	+106	8.675	+0.85	278.84	+38	8.5	+0.8	61.1116	+3.62	0.625	+2.125%	24.38	+3.5	32.1	+1.25	330	125
Amumu Amumu	613.12	+84	8.875	+0.85	287.2	+40	7.38	+0.525	53.384	+3.8	0.638	+2.18%	23.544	+3.8	32.1	+1.25	335	125
Anivia Anivia	467.6	+70	5.57	+0.55	396.04	+50	6	+0.8	51.376	+3.2	0.625	+1.68%	21.22	+4	30	+0	325	600
Annie Annie	511.68	+76	5.42	+0.55	334	+50	6	+0.8	50.41	+2.625	0.579	+1.36%	19.22	+4	30	+0	335	575
Ashe Ashe	527.72	+79	5.42	+0.55	280	+32	6.97	+0.4	56.51	+2.26	0.658	+3.33%	21.212	+3.4	30	+0	325	600
Aurelion Sol Aurelion Sol	550	+80	6.5	+0.6	350	+50	6.0	+0.8	57	+3.2	0.625	+1.0096%	19	+3.6	30	+0	325	550
Azir Azir	524.4	+80	6.92	+0.55	350.56	+42	6	+0.8	52	+2.8	0.625	+1.5%	19.04	+3	30	+0	325	525
Bard Bard	535	+93	5.4	+0.55	350	+50	6	+0.45	52	+3	0.625	+1%	25	+4	30	+0	330	500
Blitzcrank Blitzcrank	582.6	+95	8.51	+0.75	267.2	+40	8.5	+0.8	61.54	+3.5	0.625	+1.13%	24.38	+4	32.1	+1.25	325	125
Brand Brand	507.68	+76	5.42	+0.55	375.6	+42	8.005	+0.6	57.04	+3	0.625	+1.36%	21.88	+3.5	30	+0	340	550
Braum Braum	576.16	+87	8.18	+1	310.6	+45	6	+0.8	55.376	+3.2	0.644	+3.5%	26.72	+4.5	32.1	+1.25	335	125
Caitlyn Caitlyn	524.4	+80	5.67	+0.55	313.8	+35	7.42	+0.55	53.66	+2.18	0.568	+4%	22.88	+3.5	30	+0	325	650
Camille Camille	575.6	+85	8.5	+0.8	338.8	+32	8.15	+0.75	60	+3.5	0.644	+2.5%	26	+3.8	32.1	+1.25	340	125
Cassiopeia Cassiopeia	525	+75	6	+0.5	375	+60	6	+0.8	53	+3	0.647	+1.68%	25	+3.5	30	+0	328	550
Cho&#039;Gath Cho'Gath	574.4	+80	8.925	+0.85	272.2	+40	7.205	+0.45	61.156	+4.2	0.625	+1.44%	28.88	+3.5	32.1	+1.25	345	125
Corki Corki	512.76	+82	5.42	+0.55	280	+34	7.42	+0.55	56	+3.5	0.625	+2.3%	23.38	+3.5	30	+0	325	550
Darius Darius	582.24	+100	9.845	+0.95	263	+37.5	6.585	+0.35	55.88	+5	0.625	+1%	29.88	+4	32.1	+1.25	340	175
Diana Diana	589.2	+90	7.425	+0.85	297.2	+40	6	+0.8	53.04	+3	0.625	+2.25%	26.048	+3.6	32.1	+1.25	345	150
Dr. Mundo Dr. Mundo	582.52	+89	7.76	+0.75	0	+0	0	+0	61.27	+3	0.625	+2.8%	26.88	+3.5	32.1	+1.25	345	125
Draven Draven	557.76	+82	6.175	+0.7	360.56	+39	8.04	+0.65	56	+2.91	0.679	+2.7%	25.544	+3.3	30	+0	330	550
Ekko Ekko	580	+80	9	+0.9	280	+50	7	+0.6	55	+3	0.625	+3.3%	27	+3	32.1	+1.25	340	125
Elise Elise	529.4	+80	5.705	+0.6	324	+50	6	+0.8	50.54	+3	0.625	+1.75%	22.128	+3.35	30	+0	325	550
Evelynn Evelynn	531.2	+90	9.82	+0.55	315.6	+42	8.105	+0.6	53.88	+3.5	0.625	+3.6%	26.5	+3.8	32.1	+1.25	340	125
Ezreal Ezreal	484.4	+80	6.42	+0.55	360.6	+42	8.09	+0.65	55.66	+2.41	0.625	+2.8%	21.88	+3.5	30	+0	325	550
Fiddlesticks Fiddlesticks	524.4	+80	5.605	+0.6	400.12	+56	6	+0.8	48.36	+2.625	0.625	+2.11%	20.88	+3.5	30	+0	335	480
Fiora Fiora	550	+85	8.25	+0.55	300	+40	8	+0.7	60	+3.3	0.69	+3.2%	24	+3.5	32.1	+1.25	345	150
Fizz Fizz	558.48	+86	8.175	+0.7	317.2	+37	6	+0.8	58.04	+3	0.658	+3.1%	22.412	+3.4	32.1	+1.25	335	175
Galio Galio	577.8	+85	8.71	+0.75	369	+47	6	+0.8	61.97	+3.375	0.638	+1.2%	26.88	+3.5	32.1	+1.25	335	125
Gangplank Gangplank	540	+82	6	+0.6	282	+40	7.5	+0.7	56	+3	0.651	+3.2%	26	+3	32.1	+1.25	345	125
Garen Garen	616.28	+84.25	7.84	+0.5	0	+0	0	+0	57.88	+4.5	0.625	+2.9%	27.536	+3	32.1	+1.25	340	175
Gnar Gnar	540	+65	2.5	+0.5	100	+0	0	+0	51	+3	0.625	+0.5%	23	+2.5	30	+0	325	175
Gragas Gragas	583.52	+89	5.5	+0.5	400	+47	6	+0.8	61.38	+3.5	0.651	+2.05%	29.05	+3.6	32.1	+1.25	330	125
Graves Graves	551.12	+84	6.675	+0.7	322.2	+40	7.925	+0.7	60.83	+2.41	0.481	+2.9%	24.376	+3.4	30	+0	340	425
Hecarim Hecarim	580.6	+90	7	+0.75	277.2	+40	6.505	+0.6	58	+3.2	0.670	+2.5%	26.72	+4	32.1	+1.25	345	175
Heimerdinger Heimerdinger	476	+75	11.005	+1.75	307.2	+40	6	+0.8	55.536	+2.7	0.625	+1.36%	19.04	+3	30	+0	340	550
Illaoi Illaoi	585.6	+95	9.5	+0.8	300	+40	7.5	+0.75	60	+5	0.571	+2.5%	26	+3.8	32.1	+1.25	340	125
Irelia Irelia	607.2	+90	8.59	+0.65	338.8	+32	8.09	+0.65	61.544	+3.3	0.665	+3.2%	25.3	+3.75	32.1	+1.25	345	125
Ivern Ivern	580	+90	6.9	+0.85	450	+60	6.2	+0.75	50	+3	0.644	+3.4%	22	+3.5	32.1	+1.25	330	125
Janna Janna	487.04	+78	5.42	+0.55	409.52	+64	11.5	+0.4	51.956	+2.95	0.625	+2.61%	19.384	+3.8	30	+0	335	475
Jarvan IV Jarvan IV	571.2	+90	8.175	+0.7	302.2	+40	6.755	+0.45	55.712	+3.4	0.658	+2.5%	29.048	+3.6	32.1	+1.25	340	175
Jax Jax	592.8	+85	8.37	+0.55	338.8	+32	7.575	+0.7	61.97	+3.375	0.638	+3.4%	27.04	+3.0	32.1	+1.25	350	125
Jayce Jayce	571.2	+90	7.34	+0.8	357.2	+37	6	+0.8	50.38	+3.5	0.658	+3%	22.38	+3.5	30	+0	335	125
Jhin Jhin	540	+85	6	+0.55	300	+50	6	+0.8	53	+4	0.625	+3%	20	+3.5	30	+0	330	550
Jinx Jinx	517.76	+82	5.84	+0.5	245.6	+45	6.68	+1	58.46	+2.41	0.625	+1%	22.88	+3.5	30	+0	325	525
Kalista Kalista	517.76	+83	6	+0.55	231.8	+35	6.3	+0.4	62.92	+2.91	0.644	+2.5%	19.012	+3.5	30	+0	325	550
Karma Karma	522.44	+83	5.62	+0.55	374	+50	8.5	+0.8	53.544	+3.3	0.625	+2.3%	20.384	+3.8	30	+0	335	525
Karthus Karthus	516	+75	6.42	+0.55	372.48	+61	6	+0.8	45.66	+3.25	0.625	+2.11%	20.88	+3.5	30	+0	335	450
Kassadin Kassadin	564.04	+78	7.79	+0.5	397.6	+67	6	+0.8	58.852	+3.9	0.64	+3.7%	23.376	+3.2	30	+0	340	150
Katarina Katarina	590	+82	7.5	+0.7	0	+0	0	+0	58.376	+3.2	0.658	+2.74%	27.88	+3.5	32.1	+1.25	340	125
Kayle Kayle	574.24	+93	8.26	+0.75	322.2	+40	6	+0.8	51.004	+2.8	0.638	+2.2%	26.88	+3.5	30	+0	335	125
Kennen Kennen	535.72	+79	5.59	+0.65	200	+0	50	+0	50.544	+3.3	0.690	+3.4%	24.3	+3.75	30	+0	335	550
Kha&#039;Zix Kha'Zix	572.8	+85	7.51	+0.75	327.2	+40	7.59	+0.5	55.208	+3.1	0.668	+2.7%	27	+3	32.1	+1.25	350	125
Kindred Kindred	540	+85	7	+0.55	300	+35	6.95	+0.4	54.42	+1.61	0.625	+2.5%	20	+3.5	30	+0	325	500
Kled Kled	340	+70	6	+0.75	100	+0	{{{mp5_base}}}	+{{{mp5_lvl}}}	55	+3	0.625	+3.5%	26	+4	32.1	+1.25	345	125
Kog&#039;Maw Kog'Maw	517.76	+82	5.92	+0.55	322.2	+40	8.675	+0.7	57.46	+2.41	0.665	+2.65%	19.88	+3.5	30	+0	325	500
LeBlanc LeBlanc	516	+80	7.42	+0.55	334	+50	6	+0.8	54.88	+3.5	0.625	+1.4%	21.88	+3.5	30	+0	340	525
Lee Sin Lee Sin	570.8	+85	7.425	+0.7	200	+0	50	+0	61.176	+3.2	0.651	+3%	24.216	+3.7	32.1	+1.25	350	125
Leona Leona	576.16	+87	8.425	+0.85	302.2	+40	6	+0.8	60.04	+3	0.625	+2.9%	27.208	+3.6	32.1	+1.25	335	125
Lissandra Lissandra	506.12	+75	6.92	+0.55	304	+50	5.67	+0.4	50.536	+2.7	0.625	+1.36%	20.216	+3.7	30	+0	325	550
Lucian Lucian	554.4	+80	6.19	+0.65	348.88	+38	8.175	+0.7	57.46	+2.41	0.638	+3.3%	24.04	+3	30	+0	335	500
Lulu Lulu	552.76	+74	6.005	+0.6	350	+55	11	+0.6	46.368	+2.6	0.625	+2.25%	19.216	+3.7	30	+0	330	550
Lux Lux	477.72	+79	5.42	+0.55	384	+47	6	+0.8	53.544	+3.3	0.625	+1.36%	18.72	+4	30	+0	330	550
